Router,TTL,aborted,buffertime_avg,buffertime_med,created,delivered,delivery_prob,dropped,filename,hopcount_avg,hopcount_med,latency_avg,latency_med,overhead_ratio,relayed,removed,response_prob,rtt_avg,rtt_med,sim_time,started
test,600,264,23994.7811,25781.0000,1419,126,0.0888,507,prophet_Crowd-Router@test-TTL@600_MessageStatsReport,1.4444,1,15165.9524,13914.0000,9.0397,1265,0,0.0000,NaN,NaN,43000.0000,1529
Crowd,1800,1946,70128.3726,74035.0000,7082,1807,0.2552,9472,prophet_Router@Crowd-TTL@1800_MessageStatsReport,1.5113,1,48605.7106,46941.0000,4.2319,9454,0,0.0000,NaN,NaN,210000.0000,11401
Crowd,3600,1739,92278.1521,92425.0000,7082,1687,0.2382,7234,prophet_Router@Crowd-TTL@3600_MessageStatsReport,1.5637,1,55732.1814,49958.0000,4.0172,8464,0,0.0000,NaN,NaN,210000.0000,10204
Crowd,600,1828,25173.7777,32115.0000,7082,877,0.1238,12832,prophet_Router@Crowd-TTL@600_MessageStatsReport,1.4242,1,19580.1676,20141.0000,8.6796,8489,0,0.0000,NaN,NaN,210000.0000,10317
Crowd,7200,1870,86482.4894,85343.0000,7082,1745,0.2464,7815,prophet_Router@Crowd-TTL@7200_MessageStatsReport,1.6023,1,54662.3427,49382.0000,4.1903,9057,0,0.0000,NaN,NaN,210000.0000,10927
Paper,1800,1952,72107.6215,77150.0000,7082,1792,0.2530,9115,prophet_Router@Paper_Crowd-TTL@1800_MessageStatsReport,1.4637,1,48519.5045,46770.0000,4.0938,9128,0,0.0000,NaN,NaN,210000.0000,11081
Paper,3600,1754,91654.2006,90752.0000,7082,1754,0.2477,7188,prophet_Router@Paper_Crowd-TTL@3600_MessageStatsReport,1.5445,1,55847.6528,49524.0000,3.8267,8466,0,0.0000,NaN,NaN,210000.0000,10220
Paper,600,1673,25974.3246,33791.0000,7082,818,0.1155,12323,prophet_Router@Paper_Crowd-TTL@600_MessageStatsReport,1.4267,1,19351.7738,19661.0000,8.6467,7891,0,0.0000,NaN,NaN,210000.0000,9564
Paper,7200,1767,88234.2887,88674.0000,7082,1731,0.2444,7329,prophet_Router@Paper_Crowd-TTL@7200_MessageStatsReport,1.5569,1,56584.5898,50373.0000,3.9613,8588,0,0.0000,NaN,NaN,210000.0000,10355
Random,1800,2036,69871.3645,72970.0000,7082,1722,0.2432,9601,prophet_Router@Random_Crowd-TTL@1800_MessageStatsReport,1.4884,1,47138.4437,44594.0000,4.5314,9525,0,0.0000,NaN,NaN,210000.0000,11561
Random,3600,1903,87453.0960,85684.0000,7082,1652,0.2333,7924,prophet_Router@Random_Crowd-TTL@3600_MessageStatsReport,1.5714,1,54469.6895,48779.0000,4.5109,9104,0,0.0000,NaN,NaN,210000.0000,11007
Random,600,1915,24789.4345,30643.0000,7082,825,0.1165,13660,prophet_Router@Random_Crowd-TTL@600_MessageStatsReport,1.4279,1,19142.8267,19941.0000,10.2873,9312,0,0.0000,NaN,NaN,210000.0000,11227
Random,7200,1824,90872.0877,91569.0000,7082,1670,0.2358,7547,prophet_Router@Random_Crowd-TTL@7200_MessageStatsReport,1.5461,1,54112.6072,47787.0000,4.2030,8689,0,0.0000,NaN,NaN,210000.0000,10513
