aborted,bufferSize,buffertime_avg,buffertime_med,created,delivered,delivery_prob,dropPolicy,dropped,filename,forwardingStrategy,hopcount_avg,hopcount_med,latency_avg,latency_med,overhead_ratio,relayed,removed,response_prob,rtt_avg,rtt_med,sim_time,started
3574,100M,7485.3502,6828.0000,3351,1773,0.5291,1,215399,ProphetMulti-bufferSize@100M-dropPolicy@1-forwardingStrategy@COIN_MessageStatsReport,COIN,3.3486,3,10556.1850,8278.0000,130.5725,233278,0,0.0000,NaN,NaN,100000.0000,236859
3437,100M,7655.9115,6492.0000,3351,1976,0.5897,1,200080,ProphetMulti-bufferSize@100M-dropPolicy@1-forwardingStrategy@GRTRMax_MessageStatsReport,GRTRMax,2.7890,3,10632.1640,8496.0000,109.4221,218194,0,0.0000,NaN,NaN,100000.0000,221636
3385,100M,7798.0841,6521.0000,3351,1946,0.5807,1,194116,ProphetMulti-bufferSize@100M-dropPolicy@1-forwardingStrategy@GRTRSort_MessageStatsReport,GRTRSort,2.8135,3,10481.8859,8535.0000,107.9255,211969,0,0.0000,NaN,NaN,100000.0000,215362
3643,100M,7636.8872,6482.0000,3351,1491,0.4449,1,205142,ProphetMulti-bufferSize@100M-dropPolicy@1-forwardingStrategy@GRTR_MessageStatsReport,GRTR,2.5848,2,9047.1402,7640.0000,148.7344,223254,0,0.0000,NaN,NaN,100000.0000,226903
3317,100M,4375.3820,4.0000,3351,799,0.2384,2,206056,ProphetMulti-bufferSize@100M-dropPolicy@2-forwardingStrategy@COIN_MessageStatsReport,COIN,3.6383,4,4558.2453,4051.0000,278.7071,223486,0,0.0000,NaN,NaN,100000.0000,226809
3462,100M,4462.9720,0.0000,3351,1114,0.3324,2,208436,ProphetMulti-bufferSize@100M-dropPolicy@2-forwardingStrategy@GRTRMax_MessageStatsReport,GRTRMax,2.4847,2,10470.7864,8609.0000,202.0260,226171,0,0.0000,NaN,NaN,100000.0000,229636
3528,100M,4302.4868,0.0000,3351,1073,0.3202,2,215411,ProphetMulti-bufferSize@100M-dropPolicy@2-forwardingStrategy@GRTRSort_MessageStatsReport,GRTRSort,2.4268,2,10263.0485,8148.0000,216.2451,233104,0,0.0000,NaN,NaN,100000.0000,236640
3529,100M,3879.4641,0.0000,3351,1336,0.3987,2,209146,ProphetMulti-bufferSize@100M-dropPolicy@2-forwardingStrategy@GRTR_MessageStatsReport,GRTR,2.1984,2,14752.7275,11088.0000,168.3443,226244,0,0.0000,NaN,NaN,100000.0000,229777
3360,100M,4488.7566,0.0000,3351,907,0.2707,3,203291,ProphetMulti-bufferSize@100M-dropPolicy@3-forwardingStrategy@COIN_MessageStatsReport,COIN,3.4223,3,5338.1621,4853.0000,242.4708,220828,0,0.0000,NaN,NaN,100000.0000,224188
3321,100M,5308.6974,0.0000,3351,1362,0.4064,3,202066,ProphetMulti-bufferSize@100M-dropPolicy@3-forwardingStrategy@GRTRMax_MessageStatsReport,GRTRMax,2.2790,2,11290.9780,9569.0000,160.5639,220050,0,0.0000,NaN,NaN,100000.0000,223379
3475,100M,4939.9252,0.0000,3351,1313,0.3918,3,210373,ProphetMulti-bufferSize@100M-dropPolicy@3-forwardingStrategy@GRTRSort_MessageStatsReport,GRTRSort,2.3572,2,10949.1470,9176.0000,172.8081,228210,0,0.0000,NaN,NaN,100000.0000,231689
3793,100M,4834.0573,0.0000,3351,1263,0.3769,3,214954,ProphetMulti-bufferSize@100M-dropPolicy@3-forwardingStrategy@GRTR_MessageStatsReport,GRTR,2.2724,2,11785.9525,9031.0000,183.3492,232833,0,0.0000,NaN,NaN,100000.0000,236634
3700,100M,7886.8896,6861.0000,3351,2754,0.8218,4,208953,ProphetMulti-bufferSize@100M-dropPolicy@4-forwardingStrategy@COIN_MessageStatsReport,COIN,2.9597,3,10968.4742,10275.0000,81.9041,228318,0,0.0000,NaN,NaN,100000.0000,232021
3432,100M,6648.9068,0.0000,3351,2531,0.7553,4,211786,ProphetMulti-bufferSize@100M-dropPolicy@4-forwardingStrategy@GRTRMax_MessageStatsReport,GRTRMax,2.1687,2,14738.5946,12068.0000,90.2402,230929,0,0.0000,NaN,NaN,100000.0000,234364
3464,100M,6966.8620,0.0000,3351,2548,0.7604,4,204384,ProphetMulti-bufferSize@100M-dropPolicy@4-forwardingStrategy@GRTRSort_MessageStatsReport,GRTRSort,2.2162,2,15363.8477,12947.0000,86.7331,223544,0,0.0000,NaN,NaN,100000.0000,227013
3573,100M,6669.8140,0.0000,3351,2367,0.7064,4,208586,ProphetMulti-bufferSize@100M-dropPolicy@4-forwardingStrategy@GRTR_MessageStatsReport,GRTR,2.1259,2,14293.9121,11825.0000,95.1420,227568,0,0.0000,NaN,NaN,100000.0000,231145
3635,100M,6598.3108,1675.0000,3351,1105,0.3298,5,218261,ProphetMulti-bufferSize@100M-dropPolicy@5-forwardingStrategy@COIN_MessageStatsReport,COIN,2.8570,3,8242.2217,6317.0000,211.9937,235358,0,0.0000,NaN,NaN,100000.0000,238996
3304,100M,7097.5039,3664.0000,3351,1271,0.3793,5,197093,ProphetMulti-bufferSize@100M-dropPolicy@5-forwardingStrategy@GRTRMax_MessageStatsReport,GRTRMax,2.7962,3,8998.5185,7817.0000,167.7758,214514,0,0.0000,NaN,NaN,100000.0000,217821
3466,100M,6859.0804,3683.0000,3351,1298,0.3873,5,208630,ProphetMulti-bufferSize@100M-dropPolicy@5-forwardingStrategy@GRTRSort_MessageStatsReport,GRTRSort,2.7727,3,8645.4738,7310.0000,173.0570,225926,0,0.0000,NaN,NaN,100000.0000,229398
3464,100M,5297.9062,0.0000,3351,1309,0.3906,5,212645,ProphetMulti-bufferSize@100M-dropPolicy@5-forwardingStrategy@GRTR_MessageStatsReport,GRTR,2.2850,2,10560.0733,8232.0000,174.8541,230193,0,0.0000,NaN,NaN,100000.0000,233660
2169,10M,977.9984,563.0000,3351,758,0.2262,1,169802,ProphetMulti-bufferSize@10M-dropPolicy@1-forwardingStrategy@COIN_MessageStatsReport,COIN,7.7401,6,5970.6636,4314.0000,222.2098,169193,0,0.0000,NaN,NaN,100000.0000,171369
789,10M,1550.3729,829.0000,3351,984,0.2936,1,107497,ProphetMulti-bufferSize@10M-dropPolicy@1-forwardingStrategy@GRTRMax_MessageStatsReport,GRTRMax,3.8679,3,8710.5122,7143.0000,107.8272,107086,0,0.0000,NaN,NaN,100000.0000,107878
889,10M,1447.0190,777.0000,3351,892,0.2662,1,116051,ProphetMulti-bufferSize@10M-dropPolicy@1-forwardingStrategy@GRTRSort_MessageStatsReport,GRTRSort,3.7668,3,8180.0796,6273.0000,128.5583,115566,0,0.0000,NaN,NaN,100000.0000,116457
705,10M,1629.8670,908.0000,3351,894,0.2668,1,100430,ProphetMulti-bufferSize@10M-dropPolicy@1-forwardingStrategy@GRTR_MessageStatsReport,GRTR,3.6398,3,7831.5906,5935.0000,110.8009,99950,0,0.0000,NaN,NaN,100000.0000,100656
1251,10M,1337.2262,62.0000,3351,178,0.0531,2,111585,ProphetMulti-bufferSize@10M-dropPolicy@2-forwardingStrategy@COIN_MessageStatsReport,COIN,3.4888,3,3012.1910,2647.0000,619.2079,110397,0,0.0000,NaN,NaN,100000.0000,111652
2193,10M,952.0024,1.0000,3351,244,0.0728,2,146024,ProphetMulti-bufferSize@10M-dropPolicy@2-forwardingStrategy@GRTRMax_MessageStatsReport,GRTRMax,2.4016,2,5707.3566,5161.0000,592.8730,144905,0,0.0000,NaN,NaN,100000.0000,147101
2140,10M,934.3256,1.0000,3351,260,0.0776,2,152059,ProphetMulti-bufferSize@10M-dropPolicy@2-forwardingStrategy@GRTRSort_MessageStatsReport,GRTRSort,2.4038,2,6055.7769,5477.0000,579.6115,150959,0,0.0000,NaN,NaN,100000.0000,153100
2196,10M,892.5442,0.0000,3351,259,0.0773,2,154488,ProphetMulti-bufferSize@10M-dropPolicy@2-forwardingStrategy@GRTR_MessageStatsReport,GRTR,2.4324,2,6446.7722,5335.0000,591.2201,153385,0,0.0000,NaN,NaN,100000.0000,155583
956,10M,1141.6384,1.0000,3351,153,0.0457,3,74130,ProphetMulti-bufferSize@10M-dropPolicy@3-forwardingStrategy@COIN_MessageStatsReport,COIN,2.9739,2,2467.5882,2244.0000,475.6797,72932,0,0.0000,NaN,NaN,100000.0000,73888
2362,10M,653.4200,0.0000,3351,320,0.0955,3,152347,ProphetMulti-bufferSize@10M-dropPolicy@3-forwardingStrategy@GRTRMax_MessageStatsReport,GRTRMax,2.1813,2,5717.1000,4677.0000,471.5250,151208,0,0.0000,NaN,NaN,100000.0000,153571
2502,10M,661.8482,0.0000,3351,350,0.1044,3,163694,ProphetMulti-bufferSize@10M-dropPolicy@3-forwardingStrategy@GRTRSort_MessageStatsReport,GRTRSort,2.3114,2,6520.4914,5660.0000,463.7943,162678,0,0.0000,NaN,NaN,100000.0000,165183
2523,10M,624.3858,0.0000,3351,317,0.0946,3,168785,ProphetMulti-bufferSize@10M-dropPolicy@3-forwardingStrategy@GRTR_MessageStatsReport,GRTR,2.3123,2,6807.7729,5687.0000,528.1703,167747,0,0.0000,NaN,NaN,100000.0000,170270
3228,10M,868.1107,0.0000,3351,1443,0.4306,4,212476,ProphetMulti-bufferSize@10M-dropPolicy@4-forwardingStrategy@COIN_MessageStatsReport,COIN,3.0243,3,3531.1594,3346.0000,146.2931,212544,0,0.0000,NaN,NaN,100000.0000,215778
3617,10M,748.6426,0.0000,3351,1715,0.5118,4,233083,ProphetMulti-bufferSize@10M-dropPolicy@4-forwardingStrategy@GRTRMax_MessageStatsReport,GRTRMax,2.2303,2,6691.4939,6380.0000,135.1009,233413,0,0.0000,NaN,NaN,100000.0000,237033
3360,10M,769.3767,0.0000,3351,1679,0.5010,4,225339,ProphetMulti-bufferSize@10M-dropPolicy@4-forwardingStrategy@GRTRSort_MessageStatsReport,GRTRSort,2.2740,2,6977.4521,6747.0000,133.3901,225641,0,0.0000,NaN,NaN,100000.0000,229005
3567,10M,791.6852,0.0000,3351,1547,0.4617,4,219186,ProphetMulti-bufferSize@10M-dropPolicy@4-forwardingStrategy@GRTR_MessageStatsReport,GRTR,2.2023,2,6934.1616,6887.0000,140.7899,219349,0,0.0000,NaN,NaN,100000.0000,222919
3358,10M,740.7829,0.0000,3351,351,0.1047,5,222407,ProphetMulti-bufferSize@10M-dropPolicy@5-forwardingStrategy@COIN_MessageStatsReport,COIN,3.1624,2,5822.7721,4465.0000,629.6296,221351,0,0.0000,NaN,NaN,100000.0000,224715
3099,10M,770.6183,0.0000,3351,535,0.1597,5,202890,ProphetMulti-bufferSize@10M-dropPolicy@5-forwardingStrategy@GRTRMax_MessageStatsReport,GRTRMax,2.5776,2,7146.0112,5596.0000,376.5607,201995,0,0.0000,NaN,NaN,100000.0000,205099
2980,10M,831.5555,0.0000,3351,573,0.1710,5,196991,ProphetMulti-bufferSize@10M-dropPolicy@5-forwardingStrategy@GRTRSort_MessageStatsReport,GRTRSort,2.6562,2,7597.4363,5825.0000,341.3700,196178,0,0.0000,NaN,NaN,100000.0000,199161
3265,10M,762.5572,0.0000,3351,457,0.1364,5,208571,ProphetMulti-bufferSize@10M-dropPolicy@5-forwardingStrategy@GRTR_MessageStatsReport,GRTR,2.3260,2,6882.8162,5198.0000,453.3807,207652,0,0.0000,NaN,NaN,100000.0000,210921
3601,110M,8282.5005,7844.0000,3351,1855,0.5536,1,213574,ProphetMulti-bufferSize@110M-dropPolicy@1-forwardingStrategy@COIN_MessageStatsReport,COIN,3.2383,3,10569.0663,8266.0000,124.8485,233449,0,0.0000,NaN,NaN,100000.0000,237055
3330,110M,8427.2341,7382.0000,3351,2045,0.6103,1,193439,ProphetMulti-bufferSize@110M-dropPolicy@1-forwardingStrategy@GRTRMax_MessageStatsReport,GRTRMax,2.7795,3,10751.1193,8879.0000,103.4386,213577,0,0.0000,NaN,NaN,100000.0000,216910
3283,110M,8391.6294,7421.0000,3351,2047,0.6109,1,197196,ProphetMulti-bufferSize@110M-dropPolicy@1-forwardingStrategy@GRTRSort_MessageStatsReport,GRTRSort,2.8412,3,11064.7079,9231.0000,105.1597,217309,0,0.0000,NaN,NaN,100000.0000,220599
3389,110M,8710.6433,7644.0000,3351,1553,0.4634,1,195275,ProphetMulti-bufferSize@110M-dropPolicy@1-forwardingStrategy@GRTR_MessageStatsReport,GRTR,2.5724,2,9492.1146,8076.0000,137.7289,215446,0,0.0000,NaN,NaN,100000.0000,218839
3264,110M,5362.1987,4.0000,3351,850,0.2537,2,189855,ProphetMulti-bufferSize@110M-dropPolicy@2-forwardingStrategy@COIN_MessageStatsReport,COIN,3.6447,3,5323.8682,4780.0000,245.2741,209333,0,0.0000,NaN,NaN,100000.0000,212602
3557,110M,4631.1237,0.0000,3351,1176,0.3509,2,216399,ProphetMulti-bufferSize@110M-dropPolicy@2-forwardingStrategy@GRTRMax_MessageStatsReport,GRTRMax,2.3895,2,10968.1854,8647.0000,199.8469,236196,0,0.0000,NaN,NaN,100000.0000,239760
3479,110M,4741.2725,0.0000,3351,1097,0.3274,2,206155,ProphetMulti-bufferSize@110M-dropPolicy@2-forwardingStrategy@GRTRSort_MessageStatsReport,GRTRSort,2.4540,2,10860.6974,8667.0000,204.8988,225871,0,0.0000,NaN,NaN,100000.0000,229354
3503,110M,4148.8573,0.0000,3351,1391,0.4151,2,204208,ProphetMulti-bufferSize@110M-dropPolicy@2-forwardingStrategy@GRTR_MessageStatsReport,GRTR,2.2286,2,14713.3861,10826.0000,159.4838,223233,0,0.0000,NaN,NaN,100000.0000,226743
3494,110M,4977.0771,0.0000,3351,1043,0.3113,3,207089,ProphetMulti-bufferSize@110M-dropPolicy@3-forwardingStrategy@COIN_MessageStatsReport,COIN,3.4487,3,5726.6203,5240.0000,216.4123,226761,0,0.0000,NaN,NaN,100000.0000,230261
3477,110M,5472.3980,0.0000,3351,1363,0.4067,3,202206,ProphetMulti-bufferSize@110M-dropPolicy@3-forwardingStrategy@GRTRMax_MessageStatsReport,GRTRMax,2.3500,2,11045.4270,8960.0000,162.0132,222187,0,0.0000,NaN,NaN,100000.0000,225666
3426,110M,5729.6987,0.0000,3351,1471,0.4390,3,197707,ProphetMulti-bufferSize@110M-dropPolicy@3-forwardingStrategy@GRTRSort_MessageStatsReport,GRTRSort,2.2869,2,11534.3637,9500.0000,146.9925,217697,0,0.0000,NaN,NaN,100000.0000,221128
3586,110M,5187.6339,0.0000,3351,1307,0.3900,3,208370,ProphetMulti-bufferSize@110M-dropPolicy@3-forwardingStrategy@GRTR_MessageStatsReport,GRTR,2.3328,2,11681.4185,8855.0000,173.6679,228291,0,0.0000,NaN,NaN,100000.0000,231881
3936,110M,8077.3230,7049.0000,3351,2839,0.8472,4,225915,ProphetMulti-bufferSize@110M-dropPolicy@4-forwardingStrategy@COIN_MessageStatsReport,COIN,2.8598,3,10365.4452,9497.0000,86.1328,247370,0,0.0000,NaN,NaN,100000.0000,251309
3217,110M,7818.3752,0.0000,3351,2487,0.7422,4,191640,ProphetMulti-bufferSize@110M-dropPolicy@4-forwardingStrategy@GRTRMax_MessageStatsReport,GRTRMax,2.2248,2,15557.0917,12898.0000,84.5440,212748,0,0.0000,NaN,NaN,100000.0000,215968
3321,110M,7767.4612,0.0000,3351,2531,0.7553,4,193451,ProphetMulti-bufferSize@110M-dropPolicy@4-forwardingStrategy@GRTRSort_MessageStatsReport,GRTRSort,2.2153,2,15525.1379,12867.0000,83.7851,214591,0,0.0000,NaN,NaN,100000.0000,217919
